,question,answer_text,distractor
12723,the best titl passag,egg bottl,the pressur air egg bottl match
12724,what may mostli caus food poison accord passag,eat food contain bad germ,grow bacteria food eat food fridg
12725,which wrong accord passag,It occur author could run program moment gave beggar noth,In eye peopl program realli help peopl need nowaday program longer region one arous attent mani farmer garden journalist nation the author felt reliev surpris saw program turn nation wide one
12726,what impli passag,more coffe smoke,less coffe red meat less coffe exercis more coffe fewer fruit
12727,all inform receiv depend,attent,inform
12728,accord inform follow sentenc right,He speak put figur lip stop,thi year sale figur quit excel I could n figur teacher talk she lead figur british polit
12729,children might feel terrifi swallow chew gum mainli,believ tall tale chew gum,chew gum stay bodi year heart wrap chew gum chew gum indigest children
12730,which follow true,you make phone call know inform,you hire hous hoburn want cook larg kitchen
12731,what chang taken place author famili,they give prais everi day,they invit ulmer student home
12732,from passag learn,univers graduat put prison steal shop,ana luz alreadi got phd cambridg univers UK ana luz asham embarrass know often phillip lemoyn respect intellig woman defens lawyer
12733,which follow true accord passag,comput game interest enough attract peopl,mani peopl suffer lot comput game readi give comput game pitfal player ban
12734,which follow statement true accord passag,We go store buy thing hear,We go store read newspap We go store look ad TV We go store know peopl
12735,the author passag hold view,teacher perform better time pass,ineffect teacher leav earlier rather later teacher effect appar coupl year master degre improv teacher effect
12736,which follow express main idea passag,We alway awar manner,parent respons children good habit
12737,thi stori tell us,effendi fool king,king would die minist die effendi knew date everyon death
12738,accord passag multi disciplinari approach effect,approach cover lot problem meet,approach link futur surviv
12739,the author happi see neighbor go,hate listen empti talk,anger late come help want left alon jeremi get shock
12740,whi bbc plan quit west london home,the bbc cut cost,the bbc want earn money the bbc would like support british footbal sport the bbc plan save money new program
12741,the mother ask two brother,plant seed two hill,plant seed west hill come back soon plant seed
12742,what infer paragraph,high speed train low carbon develop,china lack wind solar energi china leader low carbon market palm oil made cost valuabl forest
12743,from passag infer whl list place,concern ancient monument also technolog natur beauti wildlif tradit way life,concern technolog natur beauti wildlif tradit way life neither concern ancient monument technolog natur beauti wildlif tradit way life
12744,although act difficult never give,strong mind,act popular TV play
12745,whi monarch butterfli import pacif grove,they help develop town tourism,they come stay everi year they give name pacif grove
12746,whi hetti robinson call witch wall street,she made larg amount money easili stock share,she turn richest woman new york she like wear long black dress everi day she fond read financi page newspap
12747,accord passag follow right,We need plant food oxygen also beauti,without plant ca n hear wind We plant tree watch branch sway side side
12748,how took part studi perform ask recal small detail,smoker worst among particip,non smoker could recal half smoker could recal noth those gave smoke best
12749,the author wrote passag order,tell us news hart research,persuad briton go hart workshop tell us run workshop like hart help us look kind anger
12750,the great georg luca mainli lie,make film industri modern,make movi race car
12751,which follow statement true accord passag,the gener gap partli caus older gener,parent strict children the younger gener valu older gener wisdom the gener gap exist american societi
